Arphia tenerosa,Arphia tenerosa
Arphia xanthoptera,Arphia xanthoptera
Arrhenodes minutus,Arrhenodes minutus
Arrhenodes sp.,Arrhenodes sp.
Arrhenoplita bicornis,Arrhenoplita bicornis
Arthromacra aenea,Arthromacra aenea
Artipus floridanus,Artipus floridanus
Asaphes bilobatus,Asaphes bilobatus
Asaphes decoloratus,Asaphes decoloratus
Asaphes hirtus,Asaphes hirtus
Asaphes memnonius,Asaphes memnonius
Ascalaphidae sp.,Ascalaphidae sp.
Ascaloptynx sp.,Ascaloptynx sp.
Asclera excavata,Asclera excavata
Asclera ruficoliis,Asclera ruficoliis
Asemum striatum,Asemum striatum
Asida convexa,Asida convexa
Asida costipennis,Asida costipennis
Asida morbillosa,Asida morbillosa
Asida opaca,Asida opaca
Asida polita,Asida polita
Asida rimata,Asida rimata
Asilidae sp,Asilidae sp.
Asilus flavipes,Neoitamus sp.
Asilus sericeus,Asilus sericeus
Asilus sericlus,Asilus sericlus
Asphondylia,Asphondylia sp.
Asphondylia sp.,Asphondylia sp.
Asteia,Asteia sp.
Asteia sp.,Asteia sp.
Astyleiopus variegatus,Astyleiopus variegatus
Astynomus aedilis,Acanthocinus aedilis
Ataenius imbricatus,Ataenius imbricatus
Ataenius stercoratar,Ataenius stercoratar
Ataenius strigatus,Ataenius strigatus
Ateuchus histeroides,Ateuchus histeroides
Athous,Athous
Athous [illegible pencil],Athous
Athous acanthus,Athous acanthus
Athous brightwelli,Athous brightwelli
Athous cucullatus,Athous cucullatus
Athous decoloralis,Athous decoloralis
Athous ferruginosus,Athous ferruginosus
Athous fossularis,Athous fossularis
Athous momonius,Athous momonius
Athous scapularis,Athous scapularis
Atlanticus pachymerus,Atlanticus pachymerus
Atomaria ephipiata,Atomaria ephipiata
Atomaria fuscicollis,Atomaria fuscicollis
Atomaria ochracea,Atomaria ochracea
Atomosia puella,Atomosia puella
Atomosia rufipes,Atomosia rufipes
Atomosia sp,Atomosia sp.
Atomosia sp.,Atomosia sp.
Atractocerus brasiliensis,Atractocerus brasiliensis
Atractocerus sp.,Atractocerus sp.
Atrantus pubescens,Atrantus pubescens
Atranus pubescens,Atranus pubescens
Attagenus,Attagenus
Attagenus bifasciatus,Attagenus bifasciatus
Attagenus piceus,Attagenus piceus
Attalus cinctus,Attalus cinctus
Attalus circumscriptus,Attalus circumscriptus
Attalus melanopterus,Attalus melanopterus
Attalus morulus,Attalus morulus
Attalus rufiventris,Attalus rufiventris
Attalus terminalis,Attalus terminalis
Attelabus analis,Attelabus analis
Attelabus bipustulatus,Attelabus bipustulatus
Attelabus coryli,Attelabus coryli
Attelabus nigripes,Attelabus nigripes
Attelabus rhois,Attelabus rhois
Attrichomelia sp,Attrichomelia sp.
Attrichomelia sp.,Attrichomelia sp.
Atymna cinereum,Atymna cinereum
Atymna pallidifrontis,Atymna pallidifrontis
Atymna sp.,Atymna sp.
Aulacostethus,Stethaulax simulans
Auleutes nebulosus,Auleutes nebulosus
Aulonium parallelopipedum,Aulonium parallelopipedum
Authrenus scrophulariae,Authrenus scrophulariae
Axinopalpus biplagiatus,Axinopalpus biplagiatus
Axion tripustulata,Axion tripustulata
Aysha gracilis,Aysha gracilis
Babia pulla,Babia pulla
Babia quadrigutatta,Babia quadrigutatta
Babia tetraspilota,Babia tetraspilota
Bacanius punctifornis,Bacanius punctifornis
Baccha,Baccha sp.
Baccha clavata,Baccha clavata
Baccha sp.,Baccha sp.
Bactridium ephippigerum,Bactridium ephippigerum
Badissus affinis,Badissus affinis
Badissus flavicollis,Badissus flavicollis
Badister anthracinus,Badister anthracinus
Badister ferrugineus,Badister ferrugineus
Badister micans,Badister micans
Badister notatus,Badister notatus
Badister pulchellus,Badister pulchellus
Balaninus brassicae,Balaninus brassicae
Balaninus caryae,Balaninus caryae
Balaninus nasicus,Balaninus nasicus
Balaninus quercus,Balaninus quercus
Balaninus rectus,Balaninus rectus
Balaninus uniformis,Balaninus uniformis
Balaniunus caryatrypes,Balaniunus caryatrypes
Banasa calva,Banasa calva
Baptolinus macrocephalus,Baptolinus macrocephalus
Baris aerea,Baris aerea
Baris j-album,Baris j-album
Baris striata,Baris striata
Barytychius amoenus,Barytychius amoenus
Bassareus areolatus,Bassareus areolatus
Bassareus congestus,Bassareus congestus
Bassareus croceipennis,Bassareus croceipennis
Bassareus luteipennis,Bassareus luteipennis
Bassareus sulfuripennis,Bassareus sulfuripennis
Bassareus vittatus,Bassareus vittatus
Bathyphantes nigrinus,Bathyphantes nigrinus
Batocera wallacei,Batocera wallacei
Batophila rubi,Batophila rubi
Batriasymmodes armiger,Batriasymmodes armiger
Batriasymmodes confinis,Batriasymmodes confinis
Batriasymmodes monstrosus,Batriasymmodes monstrosus
Batrisodes frontalis,Batrisodes frontalis
Batrisodes globosus,Batrisodes globosus
Batrisodes nigricans,Batrisodes nigricans
Batrisodes riparius,Batrisodes riparius
Batrisodes schaumii,Batrisodes schaumii
Batrisodes virginiae,Batrisodes virginiae
Batyle ignicollis,Batyle ignicollis
Batyle pearsalli,Batyle pearsalli
